horizon,MAE,RMSE,MAPE,samples
1353,2.177737344654021,2.86262139919783,19.674333162113506,1842
1354,2.177514826978011,2.8623739985266448,19.673123500185504,1842
1355,2.177293316903124,2.8621275075541908,19.67192080168519,1842
1356,2.177072742980924,2.8618817435187913,19.670725103015464,1842
1357,2.1768530724210358,2.8616365739302307,19.66953675654795,1842
1358,2.176634333714149,2.861391952593527,19.668356425739994,1842
1359,2.17641644075827,2.861147799975072,19.667183571643225,1842
1360,2.17619949592555,2.8609041722366126,19.666019102448434,1842
1361,2.175983584181245,2.860661121349951,19.664863751627195,1842
1362,2.1757685803821802,2.8604185652192387,19.66371649152561,1842
1363,2.1755543180624213,2.8601764587529948,19.662575507417603,1842
1364,2.175340618006222,2.859934769692024,19.66143874926224,1842
1365,2.1751272637613748,2.8596934270814214,19.66030398089415,1842
1366,2.1749140848288966,2.859452353535598,19.659169580662063,1842
1367,2.1747010279725063,2.8592115182455724,19.658035081347926,1842
1368,2.1744877306588677,2.8589707197022256,19.656897222846094,1842
1369,2.174274257195934,2.858729969465696,19.655756721922423,1842
1370,2.1740606642880613,2.8584892894674425,19.65461414181189,1842
1371,2.1738471427801938,2.858248776702213,19.653471239727804,1842
1372,2.1736338675724887,2.8580085461426363,19.65232948513531,1842
1373,2.1734210201680644,2.8577687400352723,19.651190293971396,1842
1374,2.1732086168278215,2.857529369914027,19.65005379943073,1842
1375,2.172996602117505,2.8572903934397837,19.648919565629274,1842
1376,2.1727850362757084,2.8570518411163106,19.64778814064889,1842
1377,2.172573943235612,2.856813714638173,19.646659797878186,1842
1378,2.1723633439145593,2.856576009484274,19.64553481419798,1842
1379,2.172153285536728,2.8563387384789722,19.644413691226283,1842
1380,2.171943723056643,2.856101861092262,19.643296126185987,1842
1381,2.171734670134556,2.8558653596638592,19.642182415262504,1842
1382,2.1715260862583285,2.8556292128497636,19.641072201997687,1842
1383,2.17131794662679,2.855393406769607,19.63996527879284,1842
1384,2.1711103023961953,2.8551579461213556,19.63886226730061,1842
1385,2.1709032980145784,2.854922858992974,19.63776480618454,1842
1386,2.1706968188630102,2.8546881179388275,19.636671634650554,1842
1387,2.1704907568344334,2.854453705197082,19.63558150068626,1842
1388,2.1702850803380267,2.854219617369325,19.6344940294764,1842
1389,2.170079653527155,2.853985842505273,19.6334075656378,1842
1390,2.1698744377183634,2.8537523777287515,19.632321632606526,1842
1391,2.169669443363413,2.8535192236771287,19.63123635937009,1842
1392,2.1694646538290887,2.853286375408241,19.630151630290076,1842
1393,2.1692600068586856,2.853053824141143,19.629066686466214,1842
1394,2.169055431066694,2.8528215637139844,19.627980624543035,1842
1395,2.1688510337338442,2.8525896014767214,19.62689477034811,1842
1396,2.1686468412123965,2.8523579329312,19.625809497849474,1842
1397,2.1684429451620537,2.852126578114032,19.62472582561896,1842
1398,2.1682392203657197,2.851895507636214,19.623642376848217,1842
1399,2.1680355370173396,2.851664692458083,19.622557710332753,1842
1400,2.1678318677155497,2.8514341213154863,19.621471559545604,1842
1401,2.167628233242191,2.8512038015876837,19.62038413507562,1842
1402,2.167424647010874,2.850973746560014,19.619295506554984,1842
1403,2.1672211248373086,2.8507439714393503,19.61820575436536,1842
1404,2.1670179260314737,2.8505145096677014,19.617117948504042,1842
1405,2.1668151364887467,2.850285366272068,19.616033156575536,1842
1406,2.166612721362744,2.8500565357886107,19.614950974282426,1842
1407,2.166410691593885,2.849828017681454,19.61387154623727,1842
1408,2.1662090826602607,2.8495998183798665,19.61279526502073,1842
1409,2.1660078947337955,2.849371933445962,19.611722182370087,1842
1410,2.165806924196468,2.8491443487821457,19.610649783262236,1842
1411,2.165605841610073,2.848916993897059,19.609574381756715,1842
1412,2.1654041984619936,2.848689606688967,19.60849203232794,1842
1413,2.1652013605937293,2.848461393343011,19.607399145487904,1842
1414,2.1649966665370184,2.848231323463088,19.606291945205246,1842
1415,2.1647900614824565,2.8479992473149727,19.605170348689867,1842
1416,2.164581614114952,2.8477651405771742,19.60403531274169,1842
1417,2.164371989496343,2.847529583421396,19.602892416164053,1842
1418,2.164161792678218,2.847293106544938,19.60174624092686,1842
1419,2.1639516354268427,2.847056541381908,19.600600343222162,1842
1420,2.16374183258134,2.8468203860890204,19.599456352263935,1842
1421,2.163532597583027,2.8465849784166646,19.598315373136032,1842
1422,2.1633241259685048,2.846350578423334,19.59717854614077,1842
1423,2.163116456572663,2.846117216673642,19.596046156543494,1842
1424,2.1629095089432924,2.8458847423907936,19.594917854325317,1842
1425,2.1627032460626414,2.8456530737238985,19.593793519779563,1842
1426,2.1624979208211315,2.845422446879049,19.59267496697618,1842
1427,2.162293472302517,2.845192660127949,19.591562291129648,1842
1428,2.162089875399034,2.8449635677588128,19.590455857085235,1842
1429,2.1618870778625046,2.8447350410795886,19.589355720666532,1842
1430,2.161685043768499,2.844507032199759,19.588261722755522,1842
1431,2.1614835492041844,2.84427940604525,19.587171928437858,1842
1432,2.1612824966813076,2.8440521205324347,19.58608539971525,1842
1433,2.1610817969800804,2.8438251500311944,19.585001189294484,1842
1434,2.1608811928987146,2.8435984518686483,19.583916328388096,1842
